,strike,ask,bid,impliedVolatility,type,maturityDate,maturity,optionPrice
163,36.0,7.5,7.2,0.30689169677734374,put,2021-01-15,0.9682539682539683,7.35
164,37.0,0.0,0.0,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,0.0
165,38.0,8.55,7.75,0.159188095703125,put,2021-01-15,0.9682539682539683,8.15
166,39.0,1.83,1.69,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,1.76
167,40.0,13.6,9.45,0.6419713537597658,put,2021-01-15,0.9682539682539683,11.524999999999999
168,41.0,14.0,9.4,0.5964395825195312,put,2021-01-15,0.9682539682539683,11.7
169,42.0,3.25,3.15,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,3.2
170,43.0,18.0,13.5,0.6062051098632814,put,2021-01-15,0.9682539682539683,15.75
171,44.0,19.0,14.3,0.6125527026367189,put,2021-01-15,0.9682539682539683,16.65
172,45.0,0.0,13.75,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,6.875
173,46.0,9.05,6.35,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,7.7
174,47.0,0.0,0.0,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,0.0
175,48.0,14.25,9.5,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,11.875
176,49.0,22.4,17.7,0.7836935693359376,put,2021-01-15,0.9682539682539683,20.049999999999997
177,50.0,25.0,20.7,0.7331569653320311,put,2021-01-15,0.9682539682539683,22.85
178,52.0,12.35,11.15,1.0000000000000003e-05,put,2021-01-15,0.9682539682539683,11.75
179,20.0,9.95,9.65,0.2524488818359375,call,2022-01-21,2.4404761904761907,9.8
180,27.0,4.85,4.5,0.2375564526367187,call,2022-01-21,2.4404761904761907,4.675
181,28.0,4.85,4.5,0.2739330419921875,call,2022-01-21,2.4404761904761907,4.675
182,29.0,3.65,3.3,0.2249833361816406,call,2022-01-21,2.4404761904761907,3.4749999999999996
183,30.0,3.15,2.81,0.2210771252441406,call,2022-01-21,2.4404761904761907,2.98
184,31.0,2.77,2.34,0.22229781616210934,call,2022-01-21,2.4404761904761907,2.5549999999999997
185,32.0,2.35,1.94,0.21790332885742186,call,2022-01-21,2.4404761904761907,2.145
186,33.0,2.0,1.58,0.21558401611328126,call,2022-01-21,2.4404761904761907,1.79
187,34.0,1.61,1.26,0.20752745605468748,call,2022-01-21,2.4404761904761907,1.435
188,35.0,1.44,1.12,0.2124102197265625,call,2022-01-21,2.4404761904761907,1.28
189,36.0,1.09,0.32,0.20142400146484374,call,2022-01-21,2.4404761904761907,0.7050000000000001
190,37.0,0.98,0.6,0.20667297241210933,call,2022-01-21,2.4404761904761907,0.79
191,38.0,0.83,0.44,0.2067950415039062,call,2022-01-21,2.4404761904761907,0.635
192,39.0,0.71,0.32,0.20777159423828123,call,2022-01-21,2.4404761904761907,0.515
193,40.0,0.58,0.24,0.20581848876953124,call,2022-01-21,2.4404761904761907,0.41
194,41.0,0.45,0.06,0.20142400146484374,call,2022-01-21,2.4404761904761907,0.255
195,42.0,0.4,0.1,0.20508607421874997,call,2022-01-21,2.4404761904761907,0.25
196,43.0,0.36,0.06,0.2087481469726562,call,2022-01-21,2.4404761904761907,0.21
197,44.0,,,0.0,call,2022-01-21,2.4404761904761907,
198,45.0,0.28,0.0,0.21363091064453127,call,2022-01-21,2.4404761904761907,0.14
199,46.0,0.25,0.0,0.21631643066406248,call,2022-01-21,2.4404761904761907,0.125
200,47.0,0.25,0.0,0.22412885253906245,call,2022-01-21,2.4404761904761907,0.125
201,48.0,0.25,0.0,0.23169713623046873,call,2022-01-21,2.4404761904761907,0.125
202,49.0,0.29,0.0,0.24658956542968752,call,2022-01-21,2.4404761904761907,0.145
203,50.0,0.33,0.22,0.260749580078125,call,2022-01-21,2.4404761904761907,0.275
204,51.0,2.96,0.0,0.5179491564941407,call,2022-01-21,2.4404761904761907,1.48
205,55.0,0.25,0.0,0.2788158056640625,call,2022-01-21,2.4404761904761907,0.125
206,15.0,0.73,0.44,0.4497125341796875,put,2022-01-21,2.4404761904761907,0.585
207,20.0,1.45,1.08,0.38013315185546875,put,2022-01-21,2.4404761904761907,1.2650000000000001
208,25.0,2.88,1.92,0.34326828613281246,put,2022-01-21,2.4404761904761907,2.4
209,26.0,3.2,2.2,0.33301448242187504,put,2022-01-21,2.4404761904761907,2.7
210,27.0,3.35,2.98,0.30884480224609373,put,2022-01-21,2.4404761904761907,3.165
211,28.0,3.8,3.4,0.304694453125,put,2022-01-21,2.4404761904761907,3.5999999999999996
212,29.0,4.25,3.9,0.29834686035156244,put,2022-01-21,2.4404761904761907,4.075
213,30.0,4.75,4.3,0.29321995849609367,put,2022-01-21,2.4404761904761907,4.525
214,31.0,5.3,4.95,0.2893137475585937,put,2022-01-21,2.4404761904761907,5.125
215,32.0,5.9,5.5,0.2866282275390625,put,2022-01-21,2.4404761904761907,5.7
216,33.0,6.55,6.1,0.28516339843749994,put,2022-01-21,2.4404761904761907,6.324999999999999
217,34.0,7.2,6.75,0.28174546386718746,put,2022-01-21,2.4404761904761907,6.975
218,35.0,8.0,7.5,0.28650615844726557,put,2022-01-21,2.4404761904761907,7.75
219,36.0,8.75,8.35,0.2863840893554687,put,2022-01-21,2.4404761904761907,8.55
220,37.0,9.7,9.2,0.29871306762695304,put,2022-01-21,2.4404761904761907,9.45
221,38.0,10.45,10.05,0.29566134033203123,put,2022-01-21,2.4404761904761907,10.25
222,39.0,11.3,10.95,0.2985909985351562,put,2022-01-21,2.4404761904761907,11.125
223,40.0,12.15,11.8,0.3002999658203125,put,2022-01-21,2.4404761904761907,11.975000000000001
224,41.0,13.05,12.6,0.30493859130859374,put,2022-01-21,2.4404761904761907,12.825
225,42.0,16.2,11.5,0.4726615234375,put,2022-01-21,2.4404761904761907,13.85
226,50.0,25.5,20.7,0.6497837756347657,put,2022-01-21,2.4404761904761907,23.1
